Country,state,city,region,region_alt,region_alt_2,region_alt_atlantia,am
BR,São Paulo,Jaguariúna,Sudeste,,,,AM de Campinas
BR,Ceará,Quixeré,Nordeste,,,,AM de Rest of Ceara
CO,Putumayo,Colón,Amazonica,Sur Occidente,,Sur,
CL,Metropolitana de Santiago,San Miguel,Metropolitana de Santiago,Metropolitana,,,AM de Santiago
BR,São Paulo,Cravinhos,Sudeste,,,,AM de Rest of SP
CL,Maule,Maule,Central,,,,
BR,Bahia,Jiquiriçá,Nordeste,,,,AM de Rest of Bahia
CO,Valle del Cauca,,Pacific,Sur Occidente,,Sur,
MX,Morelos,Emiliano Zapata,South-Central,Area 4,Sur,Occidente Pacífico,AM de Cuernavaca
BR,São Paulo,Alumínio,Sudeste,,,,AM de Rest of SP
BR,São Paulo,São Joaquim da Barra,Sudeste,,,,AM de Rest of SP
NI,Carazo,San Marcos,Region II,,,,
BR,Rio Grande do Sul,Gramado,Sul,,,,AM de Rest of Rio Grande do Sul
CR,Alajuela,Altamira,Alajuela,,,,
BR,Minas Gerais,Machacalis,Sudeste,,,,AM de Rest of Minas
BR,Pará,Abel Figueiredo,Norte,,,,
MX,Oaxaca,Cuyamecalco Villa de Zaragoza,Southwest,Area 6,,,
MX,Puebla,Hueytamalco,East,Area 4,Sur,Occidente Pacífico,
BR,Ceará,Antonina do Norte,Nordeste,,,,AM de Rest of Ceara
AR,Resto de la Provincia de Buenos Aires,Bragado,Provincia de Buenos Aires,,,,
CL,La Araucanía,Freire,Southern,,,,
BR,São Paulo,São Manuel,Sudeste,,,,AM de Rest of SP
BR,Piauí,Júlio Borges,Nordeste,,,,
BR,Santa Catarina,Pinheiro Preto,Sul,,,,AM de Rest of Santa Catarina
GT,Chiquimula,Concepción Las Minas,Region III- Nororiental,,,,
BR,Piauí,Alvorada do Gurguéia,Nordeste,,,,
GT,Suchitepéquez,San Gabriel,Region VI- Suroccidental,,,,
PE,Lambayeque,Chiclayo,,,,,AM de Chiclayo
UY,Tacuarembó,Cerro Chato,Norte,,,,
BR,Minas Gerais,Delta,Sudeste,,,,AM de Rest of Minas
AR,Catamarca,Ancasti,Noroeste,,,,
BR,Bahia,Iraquara,Nordeste,,,,AM de Rest of Bahia
SV,Usulután,Hacienda San Juan del Gozo,Oriental,,,,
MX,Nuevo León,General Treviño,Northeast,Area 2,Norte,Norte,
AR,Santa Cruz,Puerto Santa Cruz,Patagonia,,,,
CO,Cesar,,Atlantic,Costa Atlantica,,Norte,
CR,Puntarenas,Alto,Other,,,,
AR,Santiago del Estero,Bandera,Noroeste,,,,
SV,Cuscatlán,El Carmen,Central,,,,
BR,Bahia,Igaporã,Nordeste,,,,AM de Rest of Bahia
BR,Piauí,Santo Antônio de Lisboa,Nordeste,,,,
PE,Lima,Rímac,,,,,AM de Lima
BR,Paraíba,Nazarezinho,Nordeste,,,,
BR,Paraná,Iguaraçu,Sul,,,,AM de Rest of Parana
PR,Humacao,Caguas,Other,,,,
BR,Maranhão,Santa Filomena do Maranhão,Nordeste,,,,
BR,São Paulo,Piquete,Sudeste,,,,AM de Rest of SP
BR,Rio Grande do Sul,Campinas do Sul,Sul,,,,AM de Rest of Rio Grande do Sul
BR,Paraíba,Várzea,Nordeste,,,,
AR,Jujuy,Abra Pampa,Noroeste,,,,
SV,La Libertad,San Matías,Central,,,,
CL,Biobío,,Southern,,,,
PR,Arecibo,Vega Baja,Other,,,,San Juan
SV,San Miguel,El Junquillo,Oriental,,,,
BR,Rio Grande do Norte,Martins,Nordeste,,,,
EC,Chimborazo,Colta,Sierra,Sierra,,Sierra,
BR,Bahia,Biritinga,Nordeste,,,,AM de Rest of Bahia
BR,Minas Gerais,Josenópolis,Sudeste,,,,AM de Rest of Minas
MX,Jalisco,Teocuitatlán de Corona,West,Area 3,Occidente,Sureste,
BR,São Paulo,Novais,Sudeste,,,,AM de Rest of SP
BR,Santa Catarina,Bandeirante,Sul,,,,AM de Rest of Santa Catarina
CR,Guanacaste,Las Huacas,Other,,,,
SV,Usulután,Puerto Parada,Oriental,,,,
CR,Alajuela,Las Ciruelas,Alajuela,,,,
BR,São Paulo,Flora Rica,Sudeste,,,,AM de Rest of SP
MX,Puebla,Chiautzingo,East,Area 4,Sur,Occidente Pacífico,AM de Puebla
BR,Rio Grande do Norte,Tenente Laurentino Cruz,Nordeste,,,,
BR,Mato Grosso,Santo Antônio do Leverger,Centro-Oeste,,,,
